;id_1;id_2;base_name;score_base;ref_1_name;score_ref_1;ref_2_name;score_ref_2
0;20;465;DINO;0.9905869;SigLIP;0.4258185;CLIP;0.9612273
1;55;7297;DINO;0.9905976;SigLIP;0.58670044;CLIP;0.9873919
2;88;8386;DINO;0.95421124;SigLIP;0.53633124;CLIP;0.90156096
3;92;7800;DINO;0.9602064;SigLIP;0.5832396;CLIP;0.9402355
4;103;5524;DINO;0.9852028;SigLIP;0.5767659;CLIP;0.8905983
5;105;2271;DINO;0.9685236;SigLIP;0.31010967;CLIP;0.90554464
6;116;5039;DINO;0.98294854;SigLIP;0.13983625;CLIP;0.9573027
7;116;741;DINO;0.98102695;SigLIP;0.25682575;CLIP;0.92897147
8;128;563;DINO;0.98974264;SigLIP;0.4248045;CLIP;0.99088764
9;179;8550;DINO;0.9814634;SigLIP;0.51130176;CLIP;0.9647617
10;184;2773;DINO;0.9664469;SigLIP;0.28380156;CLIP;0.920375
11;184;8440;DINO;0.9640318;SigLIP;0.44329605;CLIP;0.8602122
12;184;6047;DINO;0.96331906;SigLIP;0.46156392;CLIP;0.88459885
13;184;2183;DINO;0.96106195;SigLIP;0.4366984;CLIP;0.8360867
14;190;2616;DINO;0.9660803;SigLIP;0.19557971;CLIP;0.8724227
15;190;4838;DINO;0.9641117;SigLIP;0.15610173;CLIP;0.8290204
16;190;275;DINO;0.95684874;SigLIP;0.124399826;CLIP;0.867854
17;190;6364;DINO;0.95678127;SigLIP;0.25152352;CLIP;0.8305777
18;205;4162;DINO;0.96149457;SigLIP;0.23536482;CLIP;0.92731977
19;238;2639;DINO;0.965431;SigLIP;0.26968545;CLIP;0.92701507
20;246;4200;DINO;0.95279145;SigLIP;0.51140225;CLIP;0.9162065
21;246;1563;DINO;0.9520248;SigLIP;0.5511968;CLIP;0.90884316
22;275;6180;DINO;0.9693196;SigLIP;0.3480889;CLIP;0.8733828
23;275;3416;DINO;0.9650153;SigLIP;0.33077228;CLIP;0.8810668
24;275;6364;DINO;0.96124256;SigLIP;0.36766028;CLIP;0.86305094
25;275;4838;DINO;0.9604869;SigLIP;0.31168878;CLIP;0.8476256
26;284;1016;DINO;0.9742198;SigLIP;0.57168996;CLIP;0.9344061
27;308;7050;DINO;0.95377016;SigLIP;0.49166816;CLIP;0.6573067
28;313;643;DINO;0.953123;SigLIP;0.51571476;CLIP;0.92857265
29;315;2871;DINO;0.9514833;SigLIP;0.5188905;CLIP;0.9015323
30;319;6535;DINO;0.9616158;SigLIP;0.52904725;CLIP;0.91687566
31;327;4900;DINO;0.9665498;SigLIP;0.5277833;CLIP;0.95642316
32;327;688;DINO;0.9605497;SigLIP;0.5811113;CLIP;0.95311934
33;343;4379;DINO;0.9553298;SigLIP;0.21275976;CLIP;0.8459922
34;349;5246;DINO;0.96918;SigLIP;0.3413206;CLIP;0.95907164
35;375;7915;DINO;0.9512825;SigLIP;0.5883901;CLIP;0.7620784
36;400;5280;DINO;0.96703815;SigLIP;0.39746493;CLIP;0.87739843
37;417;6176;DINO;0.95552015;SigLIP;0.46958306;CLIP;0.93030465
38;495;6896;DINO;0.9712632;SigLIP;0.4575562;CLIP;0.9568385
39;498;888;DINO;0.96346986;SigLIP;0.30245894;CLIP;0.80567634
40;498;7214;DINO;0.9524484;SigLIP;0.2801053;CLIP;0.8905389
41;519;2085;DINO;0.98368025;SigLIP;0.5502782;CLIP;0.9395727
42;519;7561;DINO;0.98157454;SigLIP;0.49509808;CLIP;0.92342126
43;519;6573;DINO;0.9814736;SigLIP;0.34591216;CLIP;0.93472815
44;519;1719;DINO;0.98115057;SigLIP;0.50778186;CLIP;0.9247352
45;529;1181;DINO;0.9753386;SigLIP;0.35932356;CLIP;0.9403689
46;540;2781;DINO;0.98700047;SigLIP;0.52527994;CLIP;0.9850111
47;566;6443;DINO;0.96954966;SigLIP;0.23547117;CLIP;0.95875096
48;566;4876;DINO;0.95156705;SigLIP;0.59763545;CLIP;0.9467876
49;616;4138;DINO;0.9527247;SigLIP;0.23825803;CLIP;0.93046546
50;620;4318;DINO;0.9581026;SigLIP;-0.1503193;CLIP;0.7971268
51;649;6619;DINO;0.98801064;SigLIP;0.491356;CLIP;0.9050797
52;656;3454;DINO;0.95254064;SigLIP;0.45066288;CLIP;0.8056287
53;688;4900;DINO;0.9892113;SigLIP;0.40356296;CLIP;0.983463
54;741;5039;DINO;0.9715073;SigLIP;0.5336943;CLIP;0.92019963
55;741;3421;DINO;0.9512212;SigLIP;0.44608748;CLIP;0.9118018
56;745;3961;DINO;0.96817696;SigLIP;0.5868856;CLIP;0.93095934
57;766;7848;DINO;0.9770162;SigLIP;0.58738685;CLIP;0.95063496
58;784;6175;DINO;0.98928285;SigLIP;0.45850712;CLIP;0.97175205
59;835;6573;DINO;0.98857003;SigLIP;0.58643204;CLIP;0.9479439
60;852;5322;DINO;0.9672824;SigLIP;0.20952201;CLIP;0.9471615
61;852;3470;DINO;0.9570453;SigLIP;0.15920846;CLIP;0.91836625
62;861;7330;DINO;0.9534826;SigLIP;0.41377085;CLIP;0.8677028
63;870;2471;DINO;0.9676784;SigLIP;0.49201998;CLIP;0.9267647
64;880;5080;DINO;0.9624309;SigLIP;0.4623751;CLIP;0.92262864
65;888;6573;DINO;0.95455587;SigLIP;0.21246076;CLIP;0.77658
66;888;5709;DINO;0.9514659;SigLIP;0.23397912;CLIP;0.7640512
67;896;7400;DINO;0.95290965;SigLIP;0.4966157;CLIP;0.878616
68;915;3354;DINO;0.97305566;SigLIP;0.41916266;CLIP;0.88848484
69;916;1375;DINO;0.97683007;SigLIP;0.2790436;CLIP;0.94579697
70;932;1402;DINO;0.9556167;SigLIP;0.28939354;CLIP;0.9491145
71;943;7735;DINO;0.9716209;SigLIP;0.5195154;CLIP;0.9219606
72;971;4710;DINO;0.95928407;SigLIP;0.03404375;CLIP;0.9400743
73;1016;6029;DINO;0.9742799;SigLIP;0.571568;CLIP;0.92851716
74;1107;6180;DINO;0.9575519;SigLIP;0.5735318;CLIP;0.8653915
75;1107;8257;DINO;0.9520683;SigLIP;0.5630542;CLIP;0.8703592
76;1118;1226;DINO;0.9575602;SigLIP;0.43090415;CLIP;0.83321583
77;1129;8124;DINO;0.9518107;SigLIP;0.4184557;CLIP;0.90885293
78;1181;5636;DINO;0.96900004;SigLIP;0.27871254;CLIP;0.9690924
