;id_1;id_2;base_name;score_base;ref_1_name;score_ref_1;ref_2_name;score_ref_2
0;84;1732;SigLIP2;0.97938156;CLIP;0.5824605;DINO;0.81261396
1;84;8550;SigLIP2;0.96516687;CLIP;0.35355824;DINO;0.74808514
2;116;5039;SigLIP2;0.9573026;CLIP;0.33013597;DINO;0.98294854
3;124;7259;SigLIP2;0.9560412;CLIP;0.37529156;DINO;0.8222045
4;124;7137;SigLIP2;0.9553415;CLIP;0.38882822;DINO;0.8273601
5;124;616;SigLIP2;0.9514035;CLIP;0.51534307;DINO;0.85843694
6;124;199;SigLIP2;0.9507735;CLIP;0.5809232;DINO;0.7209327
7;126;4065;SigLIP2;0.9634925;CLIP;0.5716374;DINO;0.9598066
8;279;5645;SigLIP2;0.9540168;CLIP;0.44077352;DINO;0.46902937
9;327;4900;SigLIP2;0.9564229;CLIP;0.4928444;DINO;0.96654963
10;331;5925;SigLIP2;0.9547839;CLIP;0.42806816;DINO;0.708989
11;331;7507;SigLIP2;0.9535178;CLIP;0.5081909;DINO;0.7718295
12;331;1864;SigLIP2;0.95197326;CLIP;0.47097367;DINO;0.70758355
13;349;5246;SigLIP2;0.95907176;CLIP;0.37471402;DINO;0.96917963
14;414;8035;SigLIP2;0.95453787;CLIP;0.47329894;DINO;0.86841553
15;442;548;SigLIP2;0.95702446;CLIP;0.38860136;DINO;0.88898736
16;495;6896;SigLIP2;0.9568379;CLIP;0.58328825;DINO;0.9712635
17;539;7116;SigLIP2;0.95549804;CLIP;0.3753518;DINO;0.7507336
18;566;6443;SigLIP2;0.95875084;CLIP;0.54005957;DINO;0.96954995
19;688;4900;SigLIP2;0.9834633;CLIP;0.50943696;DINO;0.9892117
20;754;8134;SigLIP2;0.9604338;CLIP;0.40865803;DINO;0.5333526
21;754;4125;SigLIP2;0.9552852;CLIP;0.41428232;DINO;0.62543136
22;754;6639;SigLIP2;0.9551976;CLIP;0.63835603;DINO;0.596518
23;754;7763;SigLIP2;0.9541671;CLIP;0.39948106;DINO;0.5529653
24;766;7848;SigLIP2;0.9506346;CLIP;0.59019965;DINO;0.9770167
25;784;6175;SigLIP2;0.97175205;CLIP;0.5762756;DINO;0.9892827
26;852;1592;SigLIP2;0.9609768;CLIP;0.33339205;DINO;0.9483126
27;940;2789;SigLIP2;0.9509007;CLIP;0.57128614;DINO;0.87711996
28;1036;1193;SigLIP2;0.9560704;CLIP;0.37508145;DINO;0.66670734
29;1181;5636;SigLIP2;0.9690923;CLIP;0.5426118;DINO;0.969
30;1193;8178;SigLIP2;0.9512681;CLIP;0.4541042;DINO;0.7243356
31;1395;6557;SigLIP2;0.9679518;CLIP;0.5898901;DINO;0.92932355
32;1443;8212;SigLIP2;0.95470333;CLIP;0.2887873;DINO;0.94400847
33;1592;6136;SigLIP2;0.96264374;CLIP;0.37679407;DINO;0.87370956
34;1593;6639;SigLIP2;0.962646;CLIP;0.3582179;DINO;0.6353098
