;id_1;id_2;base_name;score_base;ref_1_name;score_ref_1;ref_2_name;score_ref_2
0;20;465;CLIP;0.96122706;SigLIP;0.4258185;DINO;0.990587
1;55;7297;CLIP;0.9873922;SigLIP;0.58670044;DINO;0.9905975
2;84;8550;CLIP;0.9651669;SigLIP;0.36660862;DINO;0.7480843
3;84;4583;CLIP;0.9633423;SigLIP;0.4173151;DINO;0.78833413
4;116;5039;CLIP;0.95730233;SigLIP;0.13983625;DINO;0.9829484
5;124;7259;CLIP;0.95604104;SigLIP;0.26441765;DINO;0.822205
6;124;7137;CLIP;0.95534146;SigLIP;0.2748555;DINO;0.8273604
7;124;616;CLIP;0.9514034;SigLIP;0.30041003;DINO;0.8584375
8;124;199;CLIP;0.9507733;SigLIP;0.58494264;DINO;0.7209327
9;128;563;CLIP;0.9908878;SigLIP;0.4248045;DINO;0.9897428
10;137;6322;CLIP;0.95061386;SigLIP;0.5877366;DINO;0.9086722
11;279;5645;CLIP;0.9540167;SigLIP;0.27984536;DINO;0.4690289
12;315;6340;CLIP;0.95800894;SigLIP;0.45173416;DINO;0.9144213
13;327;4900;CLIP;0.956423;SigLIP;0.5277833;DINO;0.9665496
14;327;688;CLIP;0.9531193;SigLIP;0.5811113;DINO;0.96054995
15;331;5925;CLIP;0.9547838;SigLIP;0.3440978;DINO;0.70898914
16;331;7507;CLIP;0.9535179;SigLIP;0.31297177;DINO;0.77182907
17;331;1864;CLIP;0.9519727;SigLIP;0.3024208;DINO;0.7075827
18;349;5246;CLIP;0.9590714;SigLIP;0.3413206;DINO;0.96917963
19;406;3627;CLIP;0.9505775;SigLIP;0.59605634;DINO;0.8796358
20;442;548;CLIP;0.95702446;SigLIP;0.27525192;DINO;0.88898724
21;495;6896;CLIP;0.95683855;SigLIP;0.4575562;DINO;0.97126347
22;539;1520;CLIP;0.9721932;SigLIP;0.5826917;DINO;0.8673187
23;539;7116;CLIP;0.955498;SigLIP;0.20097804;DINO;0.7507335
24;540;2781;CLIP;0.9850109;SigLIP;0.52527994;DINO;0.9870001
25;566;6443;CLIP;0.9587507;SigLIP;0.23547117;DINO;0.96954983
26;576;3903;CLIP;0.95398235;SigLIP;0.49122837;DINO;0.9157448
27;688;4900;CLIP;0.9834628;SigLIP;0.40356296;DINO;0.98921156
28;688;1872;CLIP;0.9572442;SigLIP;0.5741986;DINO;0.94654757
29;688;6270;CLIP;0.9551817;SigLIP;0.5773327;DINO;0.8940314
30;754;8134;CLIP;0.9604335;SigLIP;0.40524247;DINO;0.5333525
31;754;4125;CLIP;0.95528454;SigLIP;0.29976556;DINO;0.62543166
32;754;6639;CLIP;0.95519733;SigLIP;0.6283473;DINO;0.5965179
33;754;7763;CLIP;0.954166;SigLIP;0.39481783;DINO;0.55296516
34;766;7848;CLIP;0.95063466;SigLIP;0.58738685;DINO;0.97701657
35;784;6175;CLIP;0.97175205;SigLIP;0.45850712;DINO;0.9892827
36;852;1592;CLIP;0.9609767;SigLIP;0.26596057;DINO;0.9483129
37;940;2789;CLIP;0.95090073;SigLIP;0.54622024;DINO;0.87712026
38;1003;4901;CLIP;0.95263046;SigLIP;0.48527938;DINO;0.8662349
39;1036;1193;CLIP;0.9560702;SigLIP;0.45917705;DINO;0.666708
40;1156;4205;CLIP;0.9554236;SigLIP;0.57996035;DINO;0.8034104
41;1181;5636;CLIP;0.96909237;SigLIP;0.27871254;DINO;0.9690001
42;1181;1834;CLIP;0.9512718;SigLIP;0.3263737;DINO;0.9619399
43;1193;8178;CLIP;0.9512682;SigLIP;0.36674184;DINO;0.7243363
44;1341;1837;CLIP;0.954846;SigLIP;0.5551138;DINO;0.9920539
45;1443;8212;CLIP;0.9547032;SigLIP;0.27702367;DINO;0.94400835
46;1516;2195;CLIP;0.96049047;SigLIP;0.55147576;DINO;0.9393923
47;1520;1864;CLIP;0.9593575;SigLIP;0.59927183;DINO;0.80838436
48;1592;6136;CLIP;0.96264404;SigLIP;0.37294158;DINO;0.87370944
49;1593;6639;CLIP;0.9626459;SigLIP;0.29946074;DINO;0.63530904
50;1593;6385;CLIP;0.95693994;SigLIP;0.37131047;DINO;0.65997255
51;1593;2505;CLIP;0.95555747;SigLIP;0.37441736;DINO;0.6769886
52;1671;5734;CLIP;0.95107925;SigLIP;0.27860975;DINO;0.89182985
53;1719;2728;CLIP;0.960828;SigLIP;0.508401;DINO;0.97536975
54;1732;4583;CLIP;0.9719384;SigLIP;0.5569172;DINO;0.92394346
55;1750;6639;CLIP;0.9645448;SigLIP;0.403538;DINO;0.85004973
56;1804;2950;CLIP;0.9589298;SigLIP;0.8651582;DINO;0.44104177
57;1834;5636;CLIP;0.9624194;SigLIP;0.58367336;DINO;0.9631235
58;1846;6573;CLIP;0.95182115;SigLIP;0.48510692;DINO;0.95710087
59;1864;7263;CLIP;0.9527991;SigLIP;0.44339722;DINO;0.75042605
60;539;1864;CLIP;0.95228827;SigLIP;0.4581941;DINO;0.7830162
61;1872;1934;CLIP;0.9506831;SigLIP;0.46913037;DINO;0.897354
62;1929;8445;CLIP;0.9783473;SigLIP;0.5474531;DINO;0.96331495
63;2036;2347;CLIP;0.9676051;SigLIP;0.31240478;DINO;0.8087969
64;2036;6976;CLIP;0.9536916;SigLIP;0.25529683;DINO;0.7999239
65;2036;4468;CLIP;0.95338523;SigLIP;0.32166374;DINO;0.84811354
66;2036;7864;CLIP;0.95174253;SigLIP;0.4504706;DINO;0.8015655
67;2106;4902;CLIP;0.9598372;SigLIP;0.45805484;DINO;0.8584689
68;2106;6866;CLIP;0.95362014;SigLIP;0.5450769;DINO;0.83983797
69;2106;5573;CLIP;0.95333016;SigLIP;0.24576673;DINO;0.7838563
70;2106;8464;CLIP;0.952127;SigLIP;0.38008893;DINO;0.7214451
71;2176;2591;CLIP;0.9593798;SigLIP;0.51534057;DINO;0.8956613
72;2176;4158;CLIP;0.95191956;SigLIP;0.35782066;DINO;0.81826746
73;2186;4345;CLIP;0.9527197;SigLIP;0.54377425;DINO;0.9398301
74;2195;4488;CLIP;0.95525455;SigLIP;0.5250041;DINO;0.98261094
75;2316;3112;CLIP;0.9615526;SigLIP;0.5863781;DINO;0.94232655
76;2349;4269;CLIP;0.9601141;SigLIP;0.21646431;DINO;0.9924202
77;2391;6128;CLIP;0.9569945;SigLIP;0.27788907;DINO;0.655136
78;2391;5165;CLIP;0.9543965;SigLIP;0.72523445;DINO;0.469346
79;2391;6030;CLIP;0.9543318;SigLIP;0.70165384;DINO;0.46578294
80;2391;2740;CLIP;0.9534457;SigLIP;0.7927998;DINO;0.45484722
81;2423;6798;CLIP;0.96659696;SigLIP;0.5481157;DINO;0.9534353
82;2467;6220;CLIP;0.95668435;SigLIP;0.50015235;DINO;0.9924491
83;2467;6722;CLIP;0.9528949;SigLIP;0.51035404;DINO;0.99179
84;2471;6659;CLIP;0.9503521;SigLIP;0.29805952;DINO;0.86181813
